Date,Title,Authors,Country,Journal,Publisher,DOI,Link,Google Scholar,Keywords,Open Access,Summary,Research Area,Rating,Notes
2026-07-24,A Nearable Soft Mat Based on Distributed Optical Fiber Sensing for Physiological Monitoring,"Vincenzo Lavorgna, Martina Pulcinelli, Andrea Polimadei, Rosaria D Amato, Carlo Massaroni, Michele Arturo Caponero, Emiliano Schena, Daniela Lo Presti",,arXiv (preprint),arXiv,10.48550/arXiv.2607.11255,http://arxiv.org/abs/2607.11255v1,https://scholar.google.com/scholar?q=A+Nearable+Soft+Mat+Based+on+Distributed+Optical+Fiber+Sensing+for+Physiological+Monitoring,cs.CV; physics.app-ph; physics.optics,Yes (preprint),"This paper brings distributed optical fiber sensing (DOFS) into wearable/near-body health monitoring by building a soft mat in which a single optical fiber, read out by Rayleigh-based optical frequency-domain reflectometry (OFDR), becomes a continuous, spatially resolved pressure/strain sensor. DOFS is attractive here for reasons classical sensors are not: it is flexible, thin, immune to electr...",Distributed Fiber Optic Sensing (DFOS),★★★★☆,Preprint. Analyst-completed bilingual analysis (grounded in the arXiv abstract).
2026-07-24,Self-Pulsing Microring Resonator Networks for Bandwidth-Efficient Event Detection in an Optical Fiber Sensor,"Alessio Lugnan, Yonas Seifu Muanenda, Ilya Auslender, Stefano Biasi, Claudio J. Oton, Fabrizio Di Pasquale, Lorenzo Pavesi",,arXiv (preprint),arXiv,10.48550/arXiv.2606.11940,http://arxiv.org/abs/2606.11940v1,https://scholar.google.com/scholar?q=Self-Pulsing+Microring+Resonator+Networks+for+Bandwidth-Efficient+Event+Detection+in+an+Optical+Fiber+Sensor,physics.optics; physics.app-ph,Yes (preprint),"This paper attacks a real bottleneck in optical sensing: the signals coming off optical sensors are often slow (sub-MHz), yet we usually digitise and process them with fast, power-hungry electronics. The authors show experimentally that a network of self-pulsing microring resonators (MRRs) can process such slow optical-sensor signals directly in the optical domain. Ordinarily optical operations...",Photonic / Silicon-Photonics Sensors,★★★★☆,Preprint. Analyst-completed bilingual analysis (grounded in the arXiv abstract).
2026-07-24,Transformer-based Multisensor Data Fusion of Ultrasonic Guided Wave and FBG-based Strain Measurements for Multitask Aerospace Structural Health Monitoring,"Xin Yang, Morteza Moradi, Tongtong Yan, Jinbo Du, Yunlai Liao, Dimitrios Zarouchas, Dimitrios Chronopoulos",,arXiv (preprint),arXiv,10.48550/arXiv.2607.02545,http://arxiv.org/abs/2607.02545v1,https://scholar.google.com/scholar?q=Transformer-based+Multisensor+Data+Fusion+of+Ultrasonic+Guided+Wave+and+FBG-based+Strain+Measurements+for+Multitask+Aerospace+Structural+Health+Monitoring,eess.SP; cs.LG,Yes (preprint),"This work targets a practical SHM problem in aerospace composites: different sensing modalities (here piezoelectric ultrasonic guided waves and FBG-based strain) capture complementary but heterogeneous information, sampled at very different rates and intervals, which makes fusing them hard. The authors propose a Transformer-based data-fusion framework that ingests these mismatched multisensor s...",Fiber Bragg Grating (FBG),★★★☆☆,Preprint. Analyst-completed bilingual analysis (grounded in the arXiv abstract).
2026-07-24,Self-Supervised Mask-Aware Transformers for Fault-Tolerant FBG Force Sensing in Minimally Invasive Surgical Robotics,"Peibo Sun, Shiyuan Dong, Shucheng Ye, Jianrong Cai, Yushan Liu, Hongen Liao, Tianqi Huang, Fang Chen",,arXiv (preprint),arXiv,10.48550/arXiv.2606.18628,http://arxiv.org/abs/2606.18628v1,https://scholar.google.com/scholar?q=Self-Supervised+Mask-Aware+Transformers+for+Fault-Tolerant+FBG+Force+Sensing+in+Minimally+Invasive+Surgical+Robotics,cs.RO,Yes (preprint),"Catheter-scale FBG sensors can estimate multi-dimensional forces by multiplexing several optical channels, which is very attractive for minimally invasive surgical robotics — but two problems degrade them in practice: nonlinear cross-axis coupling during complex deformations, and intermittent channel dropouts when fibers fracture in tight workspaces. Classic fault-tolerant fixes rely on combina...",Fiber Bragg Grating (FBG),★★★★☆,Preprint. Analyst-completed bilingual analysis (grounded in the arXiv abstract).
2026-07-24,Acceleration and Strain-Rate Elastic Wave Equation and its Finite-Difference Solution for Distributed Acoustic Sensing Seismic Simulations,Saeed Izadian,,arXiv (preprint),arXiv,10.48550/arXiv.2607.09380,http://arxiv.org/abs/2607.09380v1,https://scholar.google.com/scholar?q=Acceleration+and+Strain-Rate+Elastic+Wave+Equation+and+its+Finite-Difference+Solution+for+Distributed+Acoustic+Sensing+Seismic+Simulations,physics.geo-ph,Yes (preprint),"DAS records ground motion as strain (or strain-rate) along the fiber axis, which is fundamentally different from the particle-velocity/displacement that conventional seismometers measure — so standard seismic forward-modeling equations do not directly produce DAS-native synthetics. This paper derives a wave-equation formulation cast in terms of acceleration and strain-rate and provides its fini...",Distributed Acoustic Sensing (DAS),★★★☆☆,Preprint. Analyst-completed bilingual analysis (grounded in the arXiv abstract).
2026-07-24,Joint elastic full waveform inversion of multi-component geophone and distributed acoustic sensing data,"Hoang Anh Nguyen, Ali Tura",,arXiv (preprint),arXiv,10.48550/arXiv.2607.01649,http://arxiv.org/abs/2607.01649v1,https://scholar.google.com/scholar?q=Joint+elastic+full+waveform+inversion+of+multi-component+geophone+and+distributed+acoustic+sensing+data,physics.geo-ph,Yes (preprint),"Joint full-waveform inversion (FWI) that combines DAS with ocean-bottom-node (OBN) or geophone data usually forces a conversion of DAS strain into particle velocity, which introduces numerical noise and spectral distortion. This paper avoids that by formulating an elastic multi-parameter FWI on a velocity–stress–strain (VSS) system that models pressure, particle velocity and gauge-length-averag...",Distributed Acoustic Sensing (DAS),★★★☆☆,Preprint. Analyst-completed bilingual analysis (grounded in the arXiv abstract).
2026-07-24,Local charge engineering for tunable NIR optical response in Bi-doped photonic glass,"Xiaoman Li, Quan Dong, Huijun Liu, Zehao Li, Xueliang Li, Yupeng Huang, Shichao Lv, Jianrong Qiu, Shifeng Zhou",,Journal of Materials Science &amp; Technology,Elsevier BV,10.1016/j.jmst.2026.07.007,https://doi.org/10.1016/j.jmst.2026.07.007,https://scholar.google.com/scholar?q=Local+charge+engineering+for+tunable+NIR+optical+response+in+Bi-doped+photonic+glass,,Unknown,[To be completed by analyst],Optical Fiber Sensors,★★☆☆☆,
2026-07-24,Bio-derived gel-modified glass fiber separators for stabilizing zinc deposition in aqueous zinc-ion batteries,"Yejin Lim, Sangheon Lee, Mingyu Shin, Bumjoon Seo, Yongchai Kwon",,Journal of Materials Science &amp; Technology,Elsevier BV,10.1016/j.jmst.2026.07.001,https://doi.org/10.1016/j.jmst.2026.07.001,https://scholar.google.com/scholar?q=Bio-derived+gel-modified+glass+fiber+separators+for+stabilizing+zinc+deposition+in+aqueous+zinc-ion+batteries,,Unknown,[To be completed by analyst],Optical Fiber Sensors,★★☆☆☆,
2026-07-24,Intelligent nanozyme-based colorimetric sensor array for identifying six major teas and quantifying adulteration,"Xiaoyan Wang, An Zhao, Zhen Cao, Jingfei Lv, Siyu Lin, Xiaoying Fu, Wei Liu",,Talanta,Elsevier BV,10.1016/j.talanta.2026.130322,https://doi.org/10.1016/j.talanta.2026.130322,https://scholar.google.com/scholar?q=Intelligent+nanozyme-based+colorimetric+sensor+array+for+identifying+six+major+teas+and+quantifying+adulteration,,Unknown,[To be completed by analyst],Optical Fiber Sensors,★★☆☆☆,
2026-07-24,Optical radiation characteristics of Mg3Al2/PTFE-based energetic materials in the stable combustion stage after laser ignition,"Yanshu Song, Enling Tang, Yafei Han, Zhe Zhai, Naijin Xing, Chuang Chen, Mengzhou Chang",,Fuel,Elsevier BV,10.1016/j.fuel.2026.140667,https://doi.org/10.1016/j.fuel.2026.140667,https://scholar.google.com/scholar?q=Optical+radiation+characteristics+of+Mg3Al2%2FPTFE-based+energetic+materials+in+the+stable+combustion+stage+after+laser+ignition,,Unknown,[To be completed by analyst],Optical Fiber Sensors,★★☆☆☆,
2026-07-24,Dual-mode thermoelectric-thermochromic fiber with manipulated PEDOT:PSS-coated Te nanowires for early fire detection,"Jie Xu, Xiaoqian Li, Xingyu He, Yudong Wang, Xiaoke Li, Jianan Jiang, Zhaoyun Liu, Min Hong, Hualing He, Zhicai Yu, Siqi Huo",,Journal of Materials Science &amp; Technology,Elsevier BV,10.1016/j.jmst.2026.05.053,https://doi.org/10.1016/j.jmst.2026.05.053,https://scholar.google.com/scholar?q=Dual-mode+thermoelectric-thermochromic+fiber+with+manipulated+PEDOT%3APSS-coated+Te+nanowires+for+early+fire+detection,,Unknown,[To be completed by analyst],Optical Fiber Sensors,★★☆☆☆,
2026-07-24,A broadband neuromorphic visual sensor based on halide perovskite/sulfide heterostructure for robust day-night spatiotemporal perception,"Yuqiu Wu, Guoyi Li, Wei Tian, Wencan Wang, Shenghong Li, Shutong Lin, Min Zhou, Jahangeer Ahmed, Liang Li",,Journal of Materials Science &amp; Technology,Elsevier BV,10.1016/j.jmst.2026.06.019,https://doi.org/10.1016/j.jmst.2026.06.019,https://scholar.google.com/scholar?q=A+broadband+neuromorphic+visual+sensor+based+on+halide+perovskite%2Fsulfide+heterostructure+for+robust+day-night+spatiotemporal+perception,,Unknown,[To be completed by analyst],Fiber Bragg Grating (FBG),★★☆☆☆,
2026-07-24,"Bi2O3/Bi2Sn2O7 heterojunctions for trimethylamine gas sensor working at room temperature: Sensing performance, mechanism study, and application to wireless monitoring of seafood freshness","Zhihua Zhao, Yang Dong, Jingzhao Tian, Chao Qiu, Qingsheng Shi",,Talanta,Elsevier BV,10.1016/j.talanta.2026.130343,https://doi.org/10.1016/j.talanta.2026.130343,https://scholar.google.com/scholar?q=Bi2O3%2FBi2Sn2O7+heterojunctions+for+trimethylamine+gas+sensor+working+at+room+temperature%3A+Sensing+performance%2C+mechanism+study%2C+and+application+to+wireless+monitoring+of+seafood+freshness,,Unknown,[To be completed by analyst],Fiber Bragg Grating (FBG),★★☆☆☆,
2026-07-24,Enzyme free electrochemical cholesterol sensor based on carbon paste electrode modified with ionic liquid and molecularly imprinted polymer,"Negin Shaabani, Soheila Kashanian, Maryam Nazari, Fatemeh Parnianchi, Kobra Omidfar, Maryanne M. Collinson",,Talanta,Elsevier BV,10.1016/j.talanta.2026.130298,https://doi.org/10.1016/j.talanta.2026.130298,https://scholar.google.com/scholar?q=Enzyme+free+electrochemical+cholesterol+sensor+based+on+carbon+paste+electrode+modified+with+ionic+liquid+and+molecularly+imprinted+polymer,,Unknown,[To be completed by analyst],Fiber Bragg Grating (FBG),★★☆☆☆,
2026-07-24,Touch-based wearable cortisol monitoring via an interface-engineered hydrogel fiber sensor,"Hang Tian, Lingli Qu, Shihui Chen, Zhuwang Shao, Kerui Li, Qinghong Zhang, Yaogang Li, Hongzhi Wang, Chengyi Hou",,Talanta,Elsevier BV,10.1016/j.talanta.2026.130339,https://doi.org/10.1016/j.talanta.2026.130339,https://scholar.google.com/scholar?q=Touch-based+wearable+cortisol+monitoring+via+an+interface-engineered+hydrogel+fiber+sensor,,Unknown,[To be completed by analyst],Fiber Bragg Grating (FBG),★★☆☆☆,
2026-07-24,On the detection of shared data manipulation in distributed optimization,"Mohannad Alkhraijah, Rachel Harris, Samuel Litchfield, David Huggins, Daniel K. Molzahn",,Electric Power Systems Research,Elsevier BV,10.1016/j.epsr.2026.113790,https://doi.org/10.1016/j.epsr.2026.113790,https://scholar.google.com/scholar?q=On+the+detection+of+shared+data+manipulation+in+distributed+optimization,,Unknown,[To be completed by analyst],Distributed Acoustic Sensing (DAS),★★☆☆☆,
2026-07-24,Analytical formulation for the nondetection zones of inverter-based distributed generators with grid support functions,"Rodrigo de B. Iscuissati, Vitor F.B. de F. Siqueira, Daniel Motter, José Carlos M. Vieira, Gustavo Marchesan",,Electric Power Systems Research,Elsevier BV,10.1016/j.epsr.2026.113843,https://doi.org/10.1016/j.epsr.2026.113843,https://scholar.google.com/scholar?q=Analytical+formulation+for+the+nondetection+zones+of+inverter-based+distributed+generators+with+grid+support+functions,,Unknown,[To be completed by analyst],Distributed Acoustic Sensing (DAS),★★☆☆☆,
2026-07-24,Efficient Monte Carlo simulation for distributed generation hosting capacity based on statistical distribution analysis,"Raúl Ugarte-Muñoz, Ignacio Pérez, Bernardo Severino, Luis Gutierrez-Lagos",,Electric Power Systems Research,Elsevier BV,10.1016/j.epsr.2026.113758,https://doi.org/10.1016/j.epsr.2026.113758,https://scholar.google.com/scholar?q=Efficient+Monte+Carlo+simulation+for+distributed+generation+hosting+capacity+based+on+statistical+distribution+analysis,,Unknown,[To be completed by analyst],Distributed Acoustic Sensing (DAS),★★☆☆☆,
